neighbourhood,price
Batignolles-Monceau,152.9928275862069
Bourse,221.39894128970164
Buttes-Chaumont,129.55527237973877
Buttes-Montmartre,121.61945065474289
Entrepôt,147.4421497885046
Gobelins,119.55809018567639
Hôtel-de-Ville,223.07127991675338
Louvre,252.70096225018506
Luxembourg,255.0332541567696
Ménilmontant,97.2494424976107
Observatoire,133.40673076923076
Opéra,187.09084604715673
Palais-Bourbon,253.69565217391303
Panthéon,186.767755313634
Passy,229.18593130779394
Popincourt,134.01573120994368
Reuilly,152.34286971830986
Temple,202.76566654006837
Vaugirard,195.08313762329732
Élysée,318.80657534246575
